date_time;Gb(i);Gd(i);Gr(i);T2m(°C);WS10m(m/s)
01/01/2024 00:00:00;0;0;0;7,67;2,21
01/01/2024 01:00:00;0;0;0;7,76;2,21
01/01/2024 02:00:00;0;0;0;7,76;2,07
01/01/2024 03:00:00;0;0;0;7,61;1,93
01/01/2024 04:00:00;0;0;0;7,34;1,93
01/01/2024 05:00:00;0;0;0;7,09;1,93
01/01/2024 06:00:00;0;0;0;6,49;1,93
01/01/2024 07:00:00;0;0;0;6,46;1,93
01/01/2024 08:00:00;210,72;62,11;1,45;6,63;1,86
01/01/2024 09:00:00;354,09;109,18;3,52;8,52;1,59
01/01/2024 10:00:00;544,67;116,18;5,37;11,76;1,24
01/01/2024 11:00:00;582,37;131,29;6,11;14,1;1,1
01/01/2024 12:00:00;117,2;162,33;3,94;15,06;1,03
01/01/2024 13:00:00;518,85;113,1;5,04;15,44;1,03
01/01/2024 14:00:00;336,25;96,75;3,1;15,18;1,24
01/01/2024 15:00:00;150,14;33,21;0,88;13,85;1,66
01/01/2024 16:00:00;0;0;0;11,37;1,93
01/01/2024 17:00:00;0;0;0;9,03;1,93
01/01/2024 18:00:00;0;0;0;7,26;1,79
01/01/2024 19:00:00;0;0;0;6,67;1,79
01/01/2024 20:00:00;0;0;0;6,23;1,66
01/01/2024 21:00:00;0;0;0;6,13;1,45
01/01/2024 22:00:00;0;0;0;5,95;1,38
01/01/2024 23:00:00;0;0;0;5,28;1,45
02/01/2024 00:00:00;0;0;0;4,59;1,59
02/01/2024 01:00:00;0;0;0;4,3;1,52
02/01/2024 02:00:00;0;0;0;4,28;1,45
02/01/2024 03:00:00;0;0;0;4,09;1,38
02/01/2024 04:00:00;0;0;0;3,75;1,38
02/01/2024 05:00:00;0;0;0;3,65;1,38
02/01/2024 06:00:00;0;0;0;3,52;1,31
02/01/2024 07:00:00;0;0;0;5,59;1,31
02/01/2024 08:00:00;136,56;59,59;1,27;5,82;1,31
02/01/2024 09:00:00;157,87;116,8;2,83;6,76;1,31
02/01/2024 10:00:00;276,82;162,03;4,44;10;1,17
02/01/2024 11:00:00;525;148,48;5,95;12,06;1,31
02/01/2024 12:00:00;111,7;161,94;3,92;13,19;2,21
02/01/2024 13:00:00;0;66,52;1,49;13,03;3,66
02/01/2024 14:00:00;3,27;54,49;1,23;12,36;4
02/01/2024 15:00:00;18,29;23,8;0,54;11,46;3,52
02/01/2024 16:00:00;0;0;0;10,47;3,03
02/01/2024 17:00:00;0;0;0;10,08;2,55
02/01/2024 18:00:00;0;0;0;9,81;2
02/01/2024 19:00:00;0;0;0;9,07;1,93
02/01/2024 20:00:00;0;0;0;8,47;1,59
02/01/2024 21:00:00;0;0;0;7,82;1,45
02/01/2024 22:00:00;0;0;0;7,32;1,38
02/01/2024 23:00:00;0;0;0;6,65;1,38
03/01/2024 00:00:00;0;0;0;6,24;1,31
03/01/2024 01:00:00;0;0;0;5,86;1,24
03/01/2024 02:00:00;0;0;0;5,64;1,03
03/01/2024 03:00:00;0;0;0;5,37;0,97
03/01/2024 04:00:00;0;0;0;4,86;0,76
03/01/2024 05:00:00;0;0;0;4,8;0,69
03/01/2024 06:00:00;0;0;0;4,63;0,55
